n_train_entities,requested_size,seed,accuracy,chance,n_train,n_test,condition
12,8,0,0.6527777777777778,0.08333333333333333,72,72,M_injected
12,16,0,0.4027777777777778,0.08333333333333333,72,72,M_injected
24,32,0,0.7916666666666666,0.08333333333333333,144,72,M_injected
36,64,0,0.8472222222222222,0.08333333333333333,216,72,M_injected
36,0,0,0.8472222222222222,0.08333333333333333,216,72,M_injected
12,8,1,0.6388888888888888,0.08333333333333333,72,72,M_injected
12,16,1,0.7083333333333334,0.08333333333333333,72,72,M_injected
24,32,1,0.875,0.08333333333333333,144,72,M_injected
36,64,1,0.8611111111111112,0.08333333333333333,216,72,M_injected
36,0,1,0.8611111111111112,0.08333333333333333,216,72,M_injected
12,8,2,0.4861111111111111,0.08333333333333333,72,72,M_injected
12,16,2,0.7777777777777778,0.08333333333333333,72,72,M_injected
24,32,2,0.9027777777777778,0.08333333333333333,144,72,M_injected
36,64,2,0.875,0.08333333333333333,216,72,M_injected
36,0,2,0.875,0.08333333333333333,216,72,M_injected
12,8,3,0.6666666666666666,0.08333333333333333,72,72,M_injected
12,16,3,0.4305555555555556,0.08333333333333333,72,72,M_injected
24,32,3,0.8611111111111112,0.08333333333333333,144,72,M_injected
36,64,3,0.9166666666666666,0.08333333333333333,216,72,M_injected
36,0,3,0.9166666666666666,0.08333333333333333,216,72,M_injected
12,8,4,0.4444444444444444,0.08333333333333333,72,72,M_injected
12,16,4,0.5833333333333334,0.08333333333333333,72,72,M_injected
24,32,4,0.7916666666666666,0.08333333333333333,144,72,M_injected
36,64,4,0.9166666666666666,0.08333333333333333,216,72,M_injected
36,0,4,0.9166666666666666,0.08333333333333333,216,72,M_injected
12,8,0,0.2638888888888889,0.08333333333333333,72,72,M_gd_s2
12,16,0,0.0,0.08333333333333333,72,72,M_gd_s2
24,32,0,0.041666666666666664,0.08333333333333333,144,72,M_gd_s2
36,64,0,0.06944444444444445,0.08333333333333333,216,72,M_gd_s2
36,0,0,0.06944444444444445,0.08333333333333333,216,72,M_gd_s2
12,8,1,0.20833333333333334,0.08333333333333333,72,72,M_gd_s2
12,16,1,0.1111111111111111,0.08333333333333333,72,72,M_gd_s2
24,32,1,0.20833333333333334,0.08333333333333333,144,72,M_gd_s2
36,64,1,0.25,0.08333333333333333,216,72,M_gd_s2
36,0,1,0.25,0.08333333333333333,216,72,M_gd_s2
12,8,2,0.041666666666666664,0.08333333333333333,72,72,M_gd_s2
12,16,2,0.16666666666666666,0.08333333333333333,72,72,M_gd_s2
24,32,2,0.08333333333333333,0.08333333333333333,144,72,M_gd_s2
36,64,2,0.08333333333333333,0.08333333333333333,216,72,M_gd_s2
36,0,2,0.08333333333333333,0.08333333333333333,216,72,M_gd_s2
12,8,3,0.3055555555555556,0.08333333333333333,72,72,M_gd_s2
12,16,3,0.19444444444444445,0.08333333333333333,72,72,M_gd_s2
24,32,3,0.2638888888888889,0.08333333333333333,144,72,M_gd_s2
36,64,3,0.2222222222222222,0.08333333333333333,216,72,M_gd_s2
36,0,3,0.2222222222222222,0.08333333333333333,216,72,M_gd_s2
12,8,4,0.08333333333333333,0.08333333333333333,72,72,M_gd_s2
12,16,4,0.08333333333333333,0.08333333333333333,72,72,M_gd_s2
24,32,4,0.08333333333333333,0.08333333333333333,144,72,M_gd_s2
36,64,4,0.2638888888888889,0.08333333333333333,216,72,M_gd_s2
36,0,4,0.2638888888888889,0.08333333333333333,216,72,M_gd_s2
